site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label,trendy_nee_median_bin_30
US-Rls,43.1439,-116.7356,27.956377029418945,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Rms,43.0645,-116.7486,27.956377029418945,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Ro1,44.7143,-93.0898,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro2,44.7288,-93.0888,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro3,44.7217,-93.0893,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro4,44.6781,-93.0723,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro5,44.691,-93.0576,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Ro6,44.6946,-93.0578,39.060001373291016,exact,4,31.7–41.8 gC m-2 yr-1,15
US-Rpf,65.1198,-147.429,31.61534118652344,exact,3,20.5–31.7 gC m-2 yr-1,11
US-RRC,37.3344,-77.2065,67.10773468017578,exact,6,54.3–70.2 gC m-2 yr-1,25
US-Rwe,43.0653,-116.7591,27.956377029418945,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Rwf,43.1207,-116.7231,27.956377029418945,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Rws,43.1675,-116.7132,27.956377029418945,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Sag,69.5131,-148.5676,18.62653923034668,exact,2,5.0–20.5 gC m-2 yr-1,6
US-SD1,41.2048,-86.0296,43.83010482788086,exact,5,41.8–54.3 gC m-2 yr-1,17
US-SD2,41.1785,-85.9977,45.59328079223633,exact,5,41.8–54.3 gC m-2 yr-1,18
US-Seg,34.3603,-106.7003,18.8623104095459,exact,2,5.0–20.5 gC m-2 yr-1,6
US-Ses,34.335,-106.7448,18.8623104095459,exact,2,5.0–20.5 gC m-2 yr-1,6
US-SHC,39.4315,-120.2398,37.540283203125,exact,4,31.7–41.8 gC m-2 yr-1,14
US-Slt,39.9138,-74.596,59.29898452758789,exact,6,54.3–70.2 gC m-2 yr-1,23
US-Sne,38.0369,-121.7547,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-Snf,38.0402,-121.7272,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-SP1,29.7381,-82.2188,58.737823486328125,exact,6,54.3–70.2 gC m-2 yr-1,22
US-SRC,31.9083,-110.8395,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1,8
US-SRG,31.7894,-110.8277,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1,8
US-SRM,31.8214,-110.8661,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1,8
US-Srr,38.2006,-122.0264,43.81649017333984,exact,5,41.8–54.3 gC m-2 yr-1,17
US-SRS,31.8173,-110.8508,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1,8
US-SSH,40.6658,-77.9041,62.82831954956055,exact,6,54.3–70.2 gC m-2 yr-1,24
US-Sta,41.3966,-106.8024,36.54007339477539,exact,4,31.7–41.8 gC m-2 yr-1,14
US-StJ,39.0882,-75.4372,53.63750457763672,exact,5,41.8–54.3 gC m-2 yr-1,21
US-Syv,46.2421,-89.3459,57.82821273803711,exact,6,54.3–70.2 gC m-2 yr-1,22
US-TaS,25.1908,-80.6391,107.30545806884766,exact,7,>70.2 gC m-2 yr-1,30
US-TKs,68.6337,-149.5769,29.282676696777344,exact,3,20.5–31.7 gC m-2 yr-1,10
US-TLR,35.9168,-76.1463,57.40656280517578,exact,6,54.3–70.2 gC m-2 yr-1,22
US-Ton,38.4309,-120.966,37.63893127441406,exact,4,31.7–41.8 gC m-2 yr-1,14
US-Tw1,38.1074,-121.6469,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-Tw2,38.0969,-121.6365,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-Tw3,38.1152,-121.6469,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-Tw4,38.1027,-121.6413,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-Tw5,38.1072,-121.6426,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-Twt,38.1087,-121.6531,28.40679931640625,exact,3,20.5–31.7 gC m-2 yr-1,10
US-Uaf,64.8663,-147.8555,36.42315673828125,exact,4,31.7–41.8 gC m-2 yr-1,13
US-UC1,40.7536,-78.0056,62.71988677978515,exact,6,54.3–70.2 gC m-2 yr-1,24
US-UC2,40.7559,-77.9998,62.82831954956055,exact,6,54.3–70.2 gC m-2 yr-1,24
US-UiA,40.0646,-88.1961,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1,18
US-UiB,40.0628,-88.1984,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1,18
US-UiC,40.0628,-88.1961,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1,18
US-UiD,40.0646,-88.1985,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1,18
US-UiE,40.0629,-88.2033,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1,18
US-UiF,40.0665,-88.2015,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1,18
US-UiG,40.0629,-88.2009,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1,18
US-UMd,45.5625,-84.6975,29.353097915649418,exact,3,20.5–31.7 gC m-2 yr-1,10
US-UTB,40.7848,-113.8299,7.734132766723633,exact,2,5.0–20.5 gC m-2 yr-1,2
US-UTD,38.1038,-109.5952,23.35963249206543,exact,3,20.5–31.7 gC m-2 yr-1,7
US-UTE,37.7353,-111.5708,26.779253005981445,exact,3,20.5–31.7 gC m-2 yr-1,9
US-UTJ,37.2818,-109.5348,22.5577335357666,exact,3,20.5–31.7 gC m-2 yr-1,7
US-UTL,40.1877,-109.6579,13.971945762634276,exact,2,5.0–20.5 gC m-2 yr-1,4
US-UTM,38.5879,-109.5775,22.246562957763672,exact,3,20.5–31.7 gC m-2 yr-1,7
US-UTP,41.0604,-112.1013,23.817596435546875,exact,3,20.5–31.7 gC m-2 yr-1,8
US-UTV,40.1266,-109.9546,13.971945762634276,exact,2,5.0–20.5 gC m-2 yr-1,4
US-UTW,39.4453,-110.7288,17.76900863647461,exact,2,5.0–20.5 gC m-2 yr-1,5
US-Var,38.4133,-120.9508,37.63893127441406,exact,4,31.7–41.8 gC m-2 yr-1,14
US-Vcm,35.8885,-106.5322,32.967247009277344,exact,4,31.7–41.8 gC m-2 yr-1,12
US-Vcp,35.8641,-106.5965,32.967247009277344,exact,4,31.7–41.8 gC m-2 yr-1,12
US-VT1,40.4064,-87.5214,46.74776077270508,exact,5,41.8–54.3 gC m-2 yr-1,18
US-VT2,40.4018,-87.5213,46.74776077270508,exact,5,41.8–54.3 gC m-2 yr-1,18
US-WCr,45.8058,-90.0795,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-Whs,31.7438,-110.0522,26.135007858276367,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Wjs,34.4258,-105.8617,27.884550094604492,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Wkg,31.7365,-109.9419,20.214353561401367,exact,2,5.0–20.5 gC m-2 yr-1,6
US-WPT,41.4646,-82.9962,50.49251556396485,exact,5,41.8–54.3 gC m-2 yr-1,19
US-WT1,34.3674,-101.8154,32.98202133178711,exact,4,31.7–41.8 gC m-2 yr-1,12
US-xAB,45.7624,-122.3303,55.1087532043457,exact,6,54.3–70.2 gC m-2 yr-1,21
US-xAE,35.4106,-99.0588,43.58831024169922,exact,5,41.8–54.3 gC m-2 yr-1,17
US-xBA,71.2824,-156.6194,1.4065983295440674,exact,1,0–5 gC m-2 yr-1,1
US-xBL,39.0603,-78.0716,60.5860595703125,exact,6,54.3–70.2 gC m-2 yr-1,23
US-xBN,65.154,-147.5026,35.2994270324707,exact,4,31.7–41.8 gC m-2 yr-1,13
US-xBR,44.0639,-71.2873,50.10931015014648,exact,5,41.8–54.3 gC m-2 yr-1,19
US-xCL,33.4012,-97.57,61.13059997558594,exact,6,54.3–70.2 gC m-2 yr-1,23
US-xCP,40.8155,-104.7456,36.24602890014648,exact,4,31.7–41.8 gC m-2 yr-1,13
US-xDC,47.1617,-99.1066,39.45013427734375,exact,4,31.7–41.8 gC m-2 yr-1,15
US-xDJ,63.881100000000004,-145.7514,27.92876625061035,exact,3,20.5–31.7 gC m-2 yr-1,9
US-xDL,32.5417,-87.8039,68.69799041748047,exact,6,54.3–70.2 gC m-2 yr-1,25
US-xDS,28.125,-81.4362,59.167388916015625,exact,6,54.3–70.2 gC m-2 yr-1,22
US-xGR,35.689,-83.5019,59.668182373046875,exact,6,54.3–70.2 gC m-2 yr-1,23
US-xHE,63.8757,-149.2133,30.57876205444336,exact,3,20.5–31.7 gC m-2 yr-1,11
US-xJE,31.1948,-84.4686,74.03142547607422,exact,7,>70.2 gC m-2 yr-1,27
US-xJR,32.5907,-106.8425,16.812679290771484,exact,2,5.0–20.5 gC m-2 yr-1,5
US-xKZ,39.1008,-96.5631,52.32865905761719,exact,5,41.8–54.3 gC m-2 yr-1,20
US-xLE,31.8539,-88.1612,81.80547332763672,exact,7,>70.2 gC m-2 yr-1,28
US-xMB,38.2483,-109.3883,33.458717346191406,exact,4,31.7–41.8 gC m-2 yr-1,12
US-xML,37.3783,-80.5248,64.19834899902344,exact,6,54.3–70.2 gC m-2 yr-1,24
US-xNG,46.7697,-100.9154,40.45231246948242,exact,4,31.7–41.8 gC m-2 yr-1,15
US-xNQ,40.1776,-112.4524,34.287193298339844,exact,4,31.7–41.8 gC m-2 yr-1,12
US-xNW,40.0543,-105.5824,33.657047271728516,exact,4,31.7–41.8 gC m-2 yr-1,12
US-xPU,19.5531,-155.3173,70.52405548095703,exact,7,>70.2 gC m-2 yr-1,26
US-xRM,40.2759,-105.5459,33.657047271728516,exact,4,31.7–41.8 gC m-2 yr-1,12
US-xRN,35.9641,-84.2826,59.42998123168945,exact,6,54.3–70.2 gC m-2 yr-1,23
US-xSB,29.6893,-81.9934,70.84510040283203,exact,7,>70.2 gC m-2 yr-1,26
US-xSC,38.8929,-78.1395,60.81470489501953,exact,6,54.3–70.2 gC m-2 yr-1,23
US-xSE,38.8901,-76.56,65.1939468383789,exact,6,54.3–70.2 gC m-2 yr-1,24
US-xSJ,37.1088,-119.7323,37.558589935302734,exact,4,31.7–41.8 gC m-2 yr-1,14
US-xSL,40.4619,-103.0293,36.86944961547851,exact,4,31.7–41.8 gC m-2 yr-1,14
US-xSP,37.0334,-119.26220000000001,39.64801788330078,exact,4,31.7–41.8 gC m-2 yr-1,15
US-xSR,31.9107,-110.8355,24.90163230895996,exact,3,20.5–31.7 gC m-2 yr-1,8
US-xST,45.5089,-89.5864,53.34514617919922,exact,5,41.8–54.3 gC m-2 yr-1,20
US-xTE,37.0058,-119.006,39.64801788330078,exact,4,31.7–41.8 gC m-2 yr-1,15
US-xTL,68.6611,-149.3705,27.298269271850582,exact,3,20.5–31.7 gC m-2 yr-1,9
US-xTR,45.4937,-89.5857,50.79132843017578,exact,5,41.8–54.3 gC m-2 yr-1,19
US-xUK,39.0404,-95.1921,55.88271713256836,exact,6,54.3–70.2 gC m-2 yr-1,21
US-xUN,46.2339,-89.5373,53.117305755615234,exact,5,41.8–54.3 gC m-2 yr-1,20
US-xWD,47.1282,-99.2414,39.45013427734375,exact,4,31.7–41.8 gC m-2 yr-1,15
US-xWR,45.8205,-121.9519,43.65202331542969,exact,5,41.8–54.3 gC m-2 yr-1,17
US-xYE,44.9535,-110.5391,36.13092422485352,exact,4,31.7–41.8 gC m-2 yr-1,13
US-YK1,61.2723,-163.2228,36.035980224609375,exact,4,31.7–41.8 gC m-2 yr-1,13
US-YK2,61.2548,-163.259,36.035980224609375,exact,4,31.7–41.8 gC m-2 yr-1,13
US-ZF2,40.7939,-87.5355,42.05294418334961,exact,5,41.8–54.3 gC m-2 yr-1,16
ZA-Uby,-27.3952,32.5889,51.27582931518555,exact,5,41.8–54.3 gC m-2 yr-1,20
ZA-Spk,-28.70408,29.52614,70.4773941040039,exact,7,>70.2 gC m-2 yr-1,26
ZA-Jks,-33.99029,18.95543,39.62586212158203,exact,4,31.7–41.8 gC m-2 yr-1,15
ZA-BfS,-28.8906,24.86112,44.27429962158203,exact,5,41.8–54.3 gC m-2 yr-1,17
ZA-BfK,-28.856483,24.83985,44.27429962158203,exact,5,41.8–54.3 gC m-2 yr-1,17
KR-WdE,34.35956,126.67779,54.88365936279297,exact,6,54.3–70.2 gC m-2 yr-1,21
KR-UAO,36.41682,128.79904,73.69659423828125,exact,7,>70.2 gC m-2 yr-1,26
KR-TwC,37.30493,127.31743,61.33024215698242,exact,6,54.3–70.2 gC m-2 yr-1,23
KR-TwB,37.30406,127.31395,61.33024215698242,exact,6,54.3–70.2 gC m-2 yr-1,23
KR-SmM,37.93894,126.95471,57.572139739990234,exact,6,54.3–70.2 gC m-2 yr-1,22
KR-ScC,37.22141,129.29863,60.37056350708008,exact,6,54.3–70.2 gC m-2 yr-1,23
KR-PcD,37.48184,128.51604,68.44498443603516,exact,6,54.3–70.2 gC m-2 yr-1,25
KR-Nj2,35.0269,126.8219,65.70423126220703,exact,6,54.3–70.2 gC m-2 yr-1,24
KR-Nj1,35.02753,126.82093,65.70423126220703,exact,6,54.3–70.2 gC m-2 yr-1,24
KR-Kw2,37.74869,127.14888,55.52059555053711,exact,6,54.3–70.2 gC m-2 yr-1,21
KR-Kw1,37.74843,127.16261,55.52059555053711,exact,6,54.3–70.2 gC m-2 yr-1,21
KR-JjM,33.31798,126.56772,46.28160095214844,exact,5,41.8–54.3 gC m-2 yr-1,18
KR-Hnm,34.5538,126.56992,67.89179992675781,exact,6,54.3–70.2 gC m-2 yr-1,25
KR-HcM,37.61938,127.84571,63.79624557495117,exact,6,54.3–70.2 gC m-2 yr-1,24
KR-HPK,34.47722,126.48105,53.85786056518555,exact,5,41.8–54.3 gC m-2 yr-1,21
KR-GmS,35.75089,126.81378,68.04566192626953,exact,6,54.3–70.2 gC m-2 yr-1,25
KR-GmR,35.74862,126.86432,68.04566192626953,exact,6,54.3–70.2 gC m-2 yr-1,25
KR-GmP,35.74502,126.85222,68.04566192626953,exact,6,54.3–70.2 gC m-2 yr-1,25
KR-CmF,37.1599,127.65365,66.542449951171875,exact,6,54.3–70.2 gC m-2 yr-1,25
KR-CRK,38.2013,127.2497,59.69864273071289,exact,6,54.3–70.2 gC m-2 yr-1,23
KR-AdC,36.50565,126.35909,57.16377258300781,exact,6,54.3–70.2 gC m-2 yr-1,22
TH-Mae,18.42264,99.72025,68.048309326171875,exact,6,54.3–70.2 gC m-2 yr-1,25
TH-Kog,18.81267,98.90225,67.13160705566406,exact,6,54.3–70.2 gC m-2 yr-1,25
RU-Tur,64.208885,100.463554,23.637603759765625,exact,3,20.5–31.7 gC m-2 yr-1,7
RU-SkP,62.25471,129.61855,28.68408203125,exact,3,20.5–31.7 gC m-2 yr-1,10
RU-Sk2,62.241356,129.65047,28.68408203125,exact,3,20.5–31.7 gC m-2 yr-1,10
RU-NeF,62.315617,129.49997,32.204734802246094,exact,4,31.7–41.8 gC m-2 yr-1,11
RU-NeC,62.314842,129.50008,28.68408203125,exact,3,20.5–31.7 gC m-2 yr-1,10
RU-NeB,62.325935,129.48734,32.204734802246094,exact,4,31.7–41.8 gC m-2 yr-1,11
RU-Ege,60.015514,133.824,36.99044418334961,exact,4,31.7–41.8 gC m-2 yr-1,14
MY-LHP,4.201007,114.03908,88.0777587890625,exact,7,>70.2 gC m-2 yr-1,29
MN-Udg,48.25649,106.85116,34.05272674560547,exact,4,31.7–41.8 gC m-2 yr-1,12
MN-Nkh,47.693592,107.48934,40.14131546020508,exact,4,31.7–41.8 gC m-2 yr-1,15
MN-Kbu,47.21397,108.737335,22.16849136352539,exact,3,20.5–31.7 gC m-2 yr-1,7
MN-Hst,47.59293,105.85497,29.715261459350582,exact,3,20.5–31.7 gC m-2 yr-1,10
KH-Kmp,12.744579,105.47857,57.764381408691406,exact,6,54.3–70.2 gC m-2 yr-1,22
JP-Ynf,26.751,128.21266,37.3284797668457,exact,4,31.7–41.8 gC m-2 yr-1,14
JP-Yms,34.79028,135.84094,51.1522216796875,exact,5,41.8–54.3 gC m-2 yr-1,20
JP-Toc,42.70973,141.5659,47.24391555786133,exact,5,41.8–54.3 gC m-2 yr-1,18
JP-Tmk,42.739307,141.51483,47.24391555786133,exact,5,41.8–54.3 gC m-2 yr-1,18
JP-Tmd,42.735912,141.52315,47.24391555786133,exact,5,41.8–54.3 gC m-2 yr-1,18
JP-Tkb,36.173378,140.17664,56.80345153808594,exact,6,54.3–70.2 gC m-2 yr-1,22
JP-Tgf,36.11353,140.09488,56.80345153808594,exact,6,54.3–70.2 gC m-2 yr-1,22
JP-Tef,45.05581,142.10712,40.27547073364258,exact,4,31.7–41.8 gC m-2 yr-1,15
JP-Tak,36.146168,137.42311,69.935150146484375,exact,6,54.3–70.2 gC m-2 yr-1,26
JP-Ta2,36.140038,137.37071,69.935150146484375,exact,6,54.3–70.2 gC m-2 yr-1,26
JP-Srk,40.565483,140.12779,58.993350982666016,exact,6,54.3–70.2 gC m-2 yr-1,22
JP-Spp,42.986843,141.38533,49.82006072998047,exact,5,41.8–54.3 gC m-2 yr-1,19
JP-Shn,35.865753,137.93256,59.838401794433594,exact,6,54.3–70.2 gC m-2 yr-1,23
JP-Sb2,45.10339,141.6808,41.3867073059082,exact,4,31.7–41.8 gC m-2 yr-1,16
JP-Sb1,45.104702,141.68797,41.3867073059082,exact,4,31.7–41.8 gC m-2 yr-1,16
JP-SMF,35.261528,137.07875,69.69227600097656,exact,6,54.3–70.2 gC m-2 yr-1,25
JP-Om2,34.542454,135.50822,51.1522216796875,exact,5,41.8–54.3 gC m-2 yr-1,20
JP-Nuf,35.152416,136.9719,44.31618118286133,exact,5,41.8–54.3 gC m-2 yr-1,17
JP-NsM,36.91604,139.936,56.06325149536133,exact,6,54.3–70.2 gC m-2 yr-1,21
JP-NsC,36.915054,139.93684,56.06325149536133,exact,6,54.3–70.2 gC m-2 yr-1,21
JP-Nkm,35.808064,137.83388,59.838401794433594,exact,6,54.3–70.2 gC m-2 yr-1,23
JP-Mse,36.05393,140.02693,56.80345153808594,exact,6,54.3–70.2 gC m-2 yr-1,22
JP-MMF,44.321884,142.26152,46.45514678955078,exact,5,41.8–54.3 gC m-2 yr-1,18
JP-MBF,44.38406,142.31862,46.45514678955078,exact,5,41.8–54.3 gC m-2 yr-1,18
JP-Kzw,36.406788,138.57257,61.89708709716797,exact,6,54.3–70.2 gC m-2 yr-1,23
JP-Khw,33.13658,130.70834,49.906829833984375,exact,5,41.8–54.3 gC m-2 yr-1,19
JP-KaP,36.08313,140.24033,56.80345153808594,exact,6,54.3–70.2 gC m-2 yr-1,22
JP-Hc3,34.539673,133.91173,66.056854248046875,exact,6,54.3–70.2 gC m-2 yr-1,25
JP-Hc2,34.537518,133.92755,66.056854248046875,exact,6,54.3–70.2 gC m-2 yr-1,25
JP-Fmt,35.638744,139.37975,63.18525695800781,exact,6,54.3–70.2 gC m-2 yr-1,24
JP-Fjy,35.45454,138.76225,60.32946014404297,exact,6,54.3–70.2 gC m-2 yr-1,23
JP-Fhk,35.443554,138.7647,60.32946014404297,exact,6,54.3–70.2 gC m-2 yr-1,23
JP-BBY,43.322998,141.81065,56.127925872802734,exact,6,54.3–70.2 gC m-2 yr-1,21
JP-Api,40.001358,140.93658,64.948455810546875,exact,6,54.3–70.2 gC m-2 yr-1,24
ID-Pag,-2.3239167,113.90439,100.92154693603516,exact,7,>70.2 gC m-2 yr-1,29
ID-PaD,-2.3460708,114.03641,160.35751342773438,exact,7,>70.2 gC m-2 yr-1,30
ID-PaB,-2.340796,114.0379,160.35751342773438,exact,7,>70.2 gC m-2 yr-1,30
CN-Lsh,45.27984,127.57821,53.82399368286133,exact,5,41.8–54.3 gC m-2 yr-1,21
CN-HaM,37.607433,101.332,16.70560073852539,exact,2,5.0–20.5 gC m-2 yr-1,5
UK-AMo,55.792545,-3.2436917,27.879932403564453,exact,3,20.5–31.7 gC m-2 yr-1,9
SE-Svb,64.25611,19.7745,39.83535385131836,exact,4,31.7–41.8 gC m-2 yr-1,15
SE-Sto,68.35594,19.045208,30.920011520385746,exact,3,20.5–31.7 gC m-2 yr-1,11
SE-Nor,60.0865,17.479504,50.034324645996094,exact,5,41.8–54.3 gC m-2 yr-1,19
SE-Htm,56.09763,13.41897,55.36368560791016,exact,6,54.3–70.2 gC m-2 yr-1,21
SE-Deg,64.18203,19.55654,39.83535385131836,exact,4,31.7–41.8 gC m-2 yr-1,15
NO-Hur,60.37163,11.07949,59.34525680541992,exact,6,54.3–70.2 gC m-2 yr-1,23
NL-Loo,52.166447,5.74355,49.95448684692383,exact,5,41.8–54.3 gC m-2 yr-1,19
IT-TrF,45.82376,7.56089,57.62307357788086,exact,6,54.3–70.2 gC m-2 yr-1,22
IT-Tor,45.84444,7.578055,57.62307357788086,exact,6,54.3–70.2 gC m-2 yr-1,22
IT-Ren,46.58686,11.43369,63.27781677246094,exact,6,54.3–70.2 gC m-2 yr-1,24
IT-Noe,40.606174,8.151694,27.630332946777344,exact,3,20.5–31.7 gC m-2 yr-1,9
IT-Niv,45.49091,7.13943,56.88527297973633,exact,6,54.3–70.2 gC m-2 yr-1,22
IT-MBo,46.01468,11.045831,65.46407318115234,exact,6,54.3–70.2 gC m-2 yr-1,24
IT-Lsn,45.740482,12.750297,48.91958999633789,exact,5,41.8–54.3 gC m-2 yr-1,19
IT-Cp2,41.704266,12.357293,29.470170974731445,exact,3,20.5–31.7 gC m-2 yr-1,10
IT-BFt,45.197754,10.741966,61.91380310058594,exact,6,54.3–70.2 gC m-2 yr-1,23
IT-BCi,40.52375,14.957444,47.55440139770508,exact,5,41.8–54.3 gC m-2 yr-1,18
IE-Cra,53.32308,-7.64177,39.71290588378906,exact,4,31.7–41.8 gC m-2 yr-1,15
GL-ZaH,74.4733,-20.550869,0.16680960357189178,exact,1,0–5 gC m-2 yr-1,1
GL-ZaF,74.48152,-20.555773,0.16680960357189178,exact,1,0–5 gC m-2 yr-1,1
GL-NuF,64.130936,-51.386066,20.610780715942383,exact,3,20.5–31.7 gC m-2 yr-1,6
GL-Dsk,69.25349,-53.51413,1.313657522201538,exact,1,0–5 gC m-2 yr-1,1
GF-Guy,5.2787,-52.9248,63.6606559753418,exact,6,54.3–70.2 gC m-2 yr-1,24
FR-Tou,43.572857,1.37474,48.2670783996582,exact,5,41.8–54.3 gC m-2 yr-1,19
FR-Pue,43.7413,3.5957,53.22159194946289,exact,5,41.8–54.3 gC m-2 yr-1,20
FR-Mej,48.1184,-1.79635,51.7945671081543,exact,5,41.8–54.3 gC m-2 yr-1,20
FR-Lus,46.414246,0.1206518,56.75392150878906,exact,6,54.3–70.2 gC m-2 yr-1,22
FR-Lqu,45.6444,2.7349,54.03435897827149,exact,5,41.8–54.3 gC m-2 yr-1,21
FR-Lam,43.496437,1.237878,57.532012939453125,exact,6,54.3–70.2 gC m-2 yr-1,22
FR-LGt,47.322918,2.284102,64.8869857788086,exact,6,54.3–70.2 gC m-2 yr-1,24
FR-Hes,48.6741,7.06465,54.7104606628418,exact,6,54.3–70.2 gC m-2 yr-1,21
FR-Gri,48.84422,1.95191,52.27886199951172,exact,5,41.8–54.3 gC m-2 yr-1,20
FR-Fon,48.476357,2.780096,54.74135208129883,exact,6,54.3–70.2 gC m-2 yr-1,21
FR-FBn,43.24079,5.67865,50.55841445922851,exact,5,41.8–54.3 gC m-2 yr-1,19
FR-EM2,49.87211,3.02065,62.980003356933594,exact,6,54.3–70.2 gC m-2 yr-1,24
FR-CLt,45.0414,6.41053,54.520751953125,exact,6,54.3–70.2 gC m-2 yr-1,21
FR-Bil,44.493652,-0.956092,73.4719009399414,exact,7,>70.2 gC m-2 yr-1,26
FR-Aur,43.54965,1.106103,48.2670783996582,exact,5,41.8–54.3 gC m-2 yr-1,19
FI-Var,67.7549,29.61,28.076984405517575,exact,3,20.5–31.7 gC m-2 yr-1,9
FI-Sod,67.36239,26.63859,33.52534484863281,exact,4,31.7–41.8 gC m-2 yr-1,12
FI-Sii,61.83265,24.19285,44.574954986572266,exact,5,41.8–54.3 gC m-2 yr-1,17
FI-Let,60.64183,23.95952,50.84433364868164,exact,5,41.8–54.3 gC m-2 yr-1,20
FI-Ken,67.98721,24.24301,34.69854736328125,exact,4,31.7–41.8 gC m-2 yr-1,13
FI-Hyy,61.847410000000004,24.29477,44.574954986572266,exact,5,41.8–54.3 gC m-2 yr-1,17
FI-Ant,63.16347,27.234991,36.18063735961914,exact,4,31.7–41.8 gC m-2 yr-1,13
ES-LMa,39.94033,-5.77465,40.43504333496094,exact,4,31.7–41.8 gC m-2 yr-1,15
DK-Vng,56.037476,9.160709,49.97478866577149,exact,5,41.8–54.3 gC m-2 yr-1,19
DK-Sor,55.48587,11.644645,47.66714859008789,exact,5,41.8–54.3 gC m-2 yr-1,18
DK-Skj,55.91273,8.40481,45.63901901245117,exact,5,41.8–54.3 gC m-2 yr-1,18
DK-RCW,55.680683,12.101398,44.86714172363281,exact,5,41.8–54.3 gC m-2 yr-1,17
DK-Gds,56.0737,9.3341,49.97478866577149,exact,5,41.8–54.3 gC m-2 yr-1,19
DE-Tha,50.962597,13.565333,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1,19
DE-RuW,50.50493,6.3309627,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1,19
DE-RuS,50.865906,6.4471445,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1,19
DE-RuR,50.621914,6.304126,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1,19
DE-Msr,47.80918,11.456168,43.055877685546875,exact,5,41.8–54.3 gC m-2 yr-1,16
