site_id,site_name,country,lat,lon,elev,igbp,dataset
AT-Neu,Austria – Neustift/Stubai Valley,Austria,47.116668701171875,11.317500114440918,970,GRA,LaThuile
AU-Fog,Australia – Fogg Dam,Australia,-12.542499542236328,131.3070068359375,NA,WET,LaThuile
AU-How,Australia – Howard Springs,Australia,-12.49429988861084,131.15199279785156,NA,WSA,LaThuile
AU-Tum,Australia – Tumbarumba,Australia,-35.65570068359375,148.15199279785156,1200,EBF,LaThuile
AU-Wac,Australia – Wallaby Creek,Australia,-37.42900085449219,145.18699645996094,545,EBF,LaThuile
BE-Bra,Belgium – Brasschaat (De Inslag Forest),Belgium,51.309200286865234,4.520559787750244,16,MF,LaThuile
BE-Jal,Belgium – Jalhay,Belgium,50.563899993896484,6.073329925537109,NA,MF,LaThuile
BE-Lon,Belgium – Lonzee,Belgium,50.55220031738281,4.744939804077148,167,CRO,LaThuile
BE-Vie,Belgium – Vielsalm,Belgium,50.30550003051758,5.996829986572266,450,MF,LaThuile
BR-Ban,Brazil – Ecotone Bananal Island,Brazil,-9.824419975280762,-50.15909957885742,NA,EBF,LaThuile
BR-Cax,Brazil – Caxiuana Forest-Almeirim,Brazil,-1.7197200059890747,-51.45899963378906,NA,EBF,LaThuile
BR-Ji1,Brazil – Rond.- Faz. Nossa Senhora-i Parana-pasture,Brazil,-10.761799812316895,-62.357200622558594,306,GRA,LaThuile
BR-Ji2,Brazil – Rond.- Rebio Jaru Ji Parana- Tower A,Brazil,-10.083200454711914,-61.93090057373047,120,EBF,LaThuile
BR-Ma2,Brazil – Manaus – ZF2 K34,Brazil,-2.609100103378296,-60.20930099487305,120,EBF,LaThuile
BR-Sa1,Brazil – Santarem-Km67-Primary Forest,Brazil,-2.8566699028015137,-54.958900451660156,NA,EBF,LaThuile
BR-Sa2,Brazil – Santarem-Km77-Pasture,Brazil,-3.011899948120117,-54.5364990234375,NA,CRO,LaThuile
BR-Sa3,Brazil – Santarem-Km83-Logged Forest,Brazil,-3.0180299282073975,-54.97140121459961,NA,EBF,LaThuile
BR-Sp1,Brazil – Sao Paulo Cerrado,Brazil,-21.61949920654297,-47.649898529052734,690,WSA,LaThuile
BW-Ghg,Botswana – Ghanzi Grass Site,Botswana,-21.510000228881836,21.739999771118164,NA,SAV,LaThuile
BW-Ghm,Botswana – Ghanzi Mixed Site,Botswana,-21.200000762939453,21.75,NA,WSA,LaThuile
BW-Ma1,Botswana – Maun- Mopane Woodland,Botswana,-19.91550064086914,23.56049919128418,950,WSA,LaThuile
CA-Ca1,Canada – British Columbia- Campbell River – Mature Forest Site,Canada,49.8671989440918,-125.33399963378906,300,ENF,LaThuile
CA-Ca2,Canada – British Columbia- Campbell River – Clearcut Site,Canada,49.87049865722656,-125.29100036621094,300,ENF,LaThuile
CA-Ca3,Canada – British Columbia- Campbell River – Young Plantation Site,Canada,49.53459930419922,-124.9000015258789,NA,ENF,LaThuile
CA-Gro,Canada – Ontario- Groundhog River-Mat. Boreal Mixed Wood,Canada,48.21670150756836,-82.15560150146484,NA,MF,LaThuile
CA-Let,Canada – Lethbridge,Canada,49.70930099487305,-112.94000244140625,960,GRA,LaThuile
CA-Man,Canada – BOREAS NSA – Old Black Spruce,Canada,55.879600524902344,-98.48079681396484,259,ENF,LaThuile
CA-Mer,Canada – Eastern Peatland- Mer Bleue,Canada,45.409400939941406,-75.51860046386719,70,WET,LaThuile
CA-NS1,Canada – UCI-1850 burn site,Canada,55.87919998168945,-98.48390197753906,260,ENF,LaThuile
CA-NS2,Canada – UCI-1930 burn site,Canada,55.905799865722656,-98.52469635009766,260,ENF,LaThuile
CA-NS3,Canada – UCI-1964 burn site,Canada,55.91170120239258,-98.3822021484375,260,ENF,LaThuile
CA-NS4,Canada – UCI-1964 burn site wet,Canada,55.91170120239258,-98.3822021484375,260,ENF,LaThuile
CA-NS5,Canada – UCI-1981 burn site,Canada,55.86309814453125,-98.48500061035156,260,ENF,LaThuile
CA-NS6,Canada – UCI-1989 burn site,Canada,55.91669845581055,-98.96440124511719,NA,OSH,LaThuile
CA-NS7,Canada – UCI-1998 burn site,Canada,56.635799407958984,-99.94830322265625,NA,OSH,LaThuile
CA-Oas,Canada – Sask.- SSA Old Aspen,Canada,53.62889862060547,-106.197998046875,530,DBF,LaThuile
CA-Obs,Canada – Sask.- SSA Old Black Spruce,Canada,53.98720169067383,-105.11799621582031,628.94,ENF,LaThuile
CA-Ojp,Canada – Sask.- SSA Old Jack Pine,Canada,53.91630172729492,-104.69200134277344,579,ENF,LaThuile
CA-Qcu,Canada – Quebec Boreal Cutover Site,Canada,49.2671012878418,-74.0364990234375,392.3,ENF,LaThuile
CA-Qfo,Canada – Quebec Mature Boreal Forest Site,Canada,49.692501068115234,-74.34210205078125,382,ENF,LaThuile
CA-SF1,Canada – Sask.- Fire 1977,Canada,54.48500061035156,-105.81800079345703,536,ENF,LaThuile
CA-SF2,Canada – Sask.- Fire 1989,Canada,54.25389862060547,-105.87799835205078,520,ENF,LaThuile
CA-SF3,Canada – Sask.- Fire 1998,Canada,54.09159851074219,-106.00499725341797,540,OSH,LaThuile
CA-SJ1,Canada – Sask.- 1994 Harv. Jack Pine,Canada,53.90800094604492,-104.65599822998047,580,ENF,LaThuile
CA-SJ2,Canada – Sask.- 2002 Harvested Jack Pine,Canada,53.94499969482422,-104.64900207519531,580,ENF,LaThuile
CA-SJ3,Canada – Sask.- SSA 1975 Harv. Yng Jack Pine,Canada,53.87580108642578,-104.6449966430664,NA,ENF,LaThuile
CA-TP1,Canada – Ontario- Turkey Point Seedling White Pine,Canada,42.6609001159668,-80.55950164794922,265,ENF,LaThuile
CA-TP2,Canada – Ontario- Turkey Point Young White Pine,Canada,42.77439880371094,-80.45880126953125,212,ENF,LaThuile
CA-TP3,Canada – Ontario- Turkey Point Middle-aged White Pine,Canada,42.7067985534668,-80.348297119140625,184,ENF,LaThuile
CA-TP4,Canada – Ontario- Turkey Point Mature White Pine,Canada,42.709800720214844,-80.3573989868164,184,ENF,LaThuile
CA-WP1,Canada – Western Peatland- LaBiche-Black Spruce/Larch Fen,Canada,54.953800201416016,-112.46700286865234,540,WET,LaThuile
CA-WP2,Canada – Poor Fen,Canada,55.537498474121094,-112.33399963378906,NA,WET,LaThuile
CA-WP3,Canada – Rich Fen,Canada,54.470001220703125,-113.31999969482422,NA,WET,LaThuile
CG-Tch,Republic of Congo – Tchizalamou,Republic of Congo,-4.289169788360596,11.656399726867676,NA,OSH,LaThuile
CH-Oe1,Switzerland – Oensingen1 grass,Switzerland,47.28559875488281,7.732140064239502,450,GRA,LaThuile
CH-Oe2,Switzerland – Oensingen2 crop,Switzerland,47.28630065917969,7.734330177307129,452,CRO,LaThuile
CN-Anh,China – Anhui Huaining,China,33,117,NA,DBF,LaThuile
CN-Bed,China – Beijing Daxing,China,39.530601501464844,116.25199890136719,30,EBF,LaThuile
CN-Cha,China – Changbaishan,China,42.40250015258789,128.0959930419922,761,MF,LaThuile
CN-Do1,China – Dongtan 1,China,31.516700744628906,121.96099853515625,NA,WET,LaThuile
CN-Do2,China – Dongtan 2,China,31.584699630737305,121.90299987792969,NA,WET,LaThuile
CN-Do3,China – Dongtan 3,China,31.51689910888672,121.97200012207031,NA,WET,LaThuile
CN-Du1,China – Duolun_cropland,China,42.04560089111328,116.6709976196289,1350,CRO,LaThuile
CN-Du2,China – Duolun_grassland,China,42.04669952392578,116.28399658203125,1350,GRA,LaThuile
CN-HaM,China – Haibei Alpine Tibet site,China,37.369998931884766,101.18000030517578,3250,GRA,LaThuile
CN-Hny,China – Hunan Yueyang,China,29.309999465942383,112.51000213623047,NA,DBF,LaThuile
CN-Ku1,China – Kubuqi_populus forest,China,40.538299560546875,108.69400024414062,1020,EBF,LaThuile
CN-Ku2,China – Kubuqi_shrubland,China,40.38079833984375,108.54900360107422,1160,OSH,LaThuile
CN-Xfs,China – Xilinhot Inner Mongolia fenced typical steppe,China,44.1341667175293,116.32861328125,NA,TBD,LaThuile
CN-Xi1,China – Xilinhot fenced steppe (X06),China,43.545833587646484,116.67778015136719,1250,GRA,LaThuile
CN-Xi2,China – Xilinhot grassland site (X03),China,43.55440139770508,116.6709976196289,1250,GRA,LaThuile
CZ-BK1,Czech Republic – Bily Kriz- Beskidy Mountains,Czech Republic,49.502601623535156,18.538400650024414,908,ENF,LaThuile
CZ-BK2,Czech Republic – Bily Kriz- grassland,Czech Republic,49.49530029296875,18.544700622558594,855,GRA,LaThuile
CZ-wet,Czech Republic – CZECHWET,Czech Republic,49.025001525878906,14.772000312805176,420,WET,LaThuile
DE-Bay,Germany – Bayreuth-Waldstein/WeidenBrunnen,Germany,50.14189910888672,11.866900444030762,775,ENF,LaThuile
DE-Geb,Germany – Gebesee,Germany,51.100101470947266,10.914299964904785,161.5,CRO,LaThuile
DE-Gri,Germany – Grillenburg- grass station,Germany,50.949501037597656,13.512499809265137,385,GRA,LaThuile
DE-Hai,Germany – Hainich,Germany,51.07929992675781,10.45199966430664,430,DBF,LaThuile
DE-Har,Germany – Hartheim,Germany,47.93439865112305,7.60099983215332,201,ENF,LaThuile
DE-Kli,Germany – Klingenberg – cropland,Germany,50.89289855957031,13.522500038146973,480,CRO,LaThuile
DE-Meh,Germany – Mehrstedt 1,Germany,51.275299072265625,10.655500411987305,286,GRA,LaThuile
DE-Tha,Germany – Anchor Station Tharandt – old spruce,Germany,50.963600158691406,13.566900253295898,380,ENF,LaThuile
DE-Wet,Germany – Wetzstein,Germany,50.45349884033203,11.457500457763672,785,ENF,LaThuile
DK-Fou,Denmark – Foulum,Denmark,56.48419952392578,9.587220191955566,51,CRO,LaThuile
DK-Lva,Denmark – Lille Valby (Rimi),Denmark,55.68330001831055,12.08329963684082,15,GRA,LaThuile
DK-Ris,Denmark – Risbyholm,Denmark,55.53030014038086,12.097200393676758,10,CRO,LaThuile
DK-Sor,Denmark – Soroe- LilleBogeskov,Denmark,55.486900329589844,11.64579963684082,40,DBF,LaThuile
ES-ES1,Spain – El Saler,Spain,39.34600067138672,-0.31880998611450195,10,ENF,LaThuile
ES-ES2,Spain – El Saler-Sueca,Spain,39.2755012512207,-0.3152199983596802,10,CRO,LaThuile
ES-LJu,Spain – Llano de los Juanes,Spain,36.928199768066406,-2.750469923019409,1600,OSH,LaThuile
ES-LMa,Spain – Las Majadas del Tietar,Spain,39.94150161743164,-5.773359775543213,260,SAV,LaThuile
ES-VDA,Spain – Vall d’Alinya,Spain,42.152198791503906,1.4485000371932983,1770,GRA,LaThuile
FI-Hyy,Finland – Hyytiala,Finland,61.8474006652832,24.2947998046875,181,ENF,LaThuile
FI-Kaa,Finland – Kaamanen wetland,Finland,69.14070129394531,27.295000076293945,155,WET,LaThuile
FI-Sii,Finland – Siikaneva fen,Finland,61.83300018310547,24.19300079345703,NA,GRA,LaThuile
FI-Sod,Finland – Sodankyla,Finland,67.36190032958984,26.637800216674805,180,ENF,LaThuile
FR-Aur,France – Aurade,France,43.549400329589844,1.1077799797058105,NA,CRO,LaThuile
FR-Fon,France – Fontainebleau,France,48.47629928588867,2.7801499366760254,90,DBF,LaThuile
FR-Gri,France – Grignon (after 6/5/2005),France,48.84400177001953,1.952430009841919,125,CRO,LaThuile
FR-Hes,France – Hesse Forest- Sarrebourg,France,48.674198150634766,7.064620018005371,300,DBF,LaThuile
FR-Lam,France – Lamasquere,France,43.49330139160156,1.237220048904419,NA,CRO,LaThuile
FR-LBr,France – Le Bray (after 6/28/1998),France,44.717098236083984,-0.7692999839782715,61,ENF,LaThuile
FR-Lq1,France – Laqueuille,France,45.644100189208984,2.737030029296875,1040,GRA,LaThuile
FR-Lq2,France – Laqueuille extensive,France,45.639198303222656,2.737030029296875,1040,GRA,LaThuile
FR-Pue,France – Puechabon,France,43.74140167236328,3.595829963684082,270,EBF,LaThuile
GF-Guy,French Guyana – Guyaflux,French Guyana,5.277699947357178,-52.92879867553711,35,EBF,LaThuile
HU-Bug,Hungary – Bugacpuszta,Hungary,46.69110107421875,19.601299285888672,140,GRA,LaThuile
HU-Mat,Hungary – Matra,Hungary,47.846900939941406,19.72599983215332,350,GRA,LaThuile
ID-Pag,Indonesia – Palangkaraya,Indonesia,2.3450000286102295,114.03600311279297,30,EBF,LaThuile
IE-Ca1,Ireland – Carlow1,Ireland,52.85879898071289,-6.918139934539795,50,CRO,LaThuile
IE-Dri,Ireland – Dripsey,Ireland,51.986698150634766,-8.751810073852539,187,GRA,LaThuile
IL-Yat,Israel – Yatir,Israel,31.344999313354492,35.05149841308594,650,ENF,LaThuile
IS-Gun,Iceland – Gunnarsholt,Iceland,63.83330154418945,-20.216699600219727,78,DBF,LaThuile
IT-Amp,Italy – Amplero,Italy,41.90409851074219,13.605199813842773,884.231,GRA,LaThuile
IT-BCi,Italy – Borgo Cioffi,Italy,40.523799896240234,14.95740032196045,20,CRO,LaThuile
IT-Be2,Italy – Beano 2,Italy,46.00310134887695,13.025699615478516,NA,GRA,LaThuile
IT-Bon,Italy – Bonis,Italy,39.47779846191406,16.534700393676758,1170,ENF,LaThuile
IT-Cas,Italy – Castellaro,Italy,45.06284713745117,8.668539047241211,NA,CRO,LaThuile
IT-Col,Italy – Collelongo- Selva Piana,Italy,41.84939956665039,13.58810043334961,1550,DBF,LaThuile
IT-Cpz,Italy – Castelporziano,Italy,41.7052001953125,12.376099586486816,68.253,EBF,LaThuile
IT-Lav,Italy – Lavarone (after 3/2002),Italy,45.955299377441406,11.281200408935547,1353,ENF,LaThuile
IT-Lec,Italy – Lecceto,Italy,43.30459976196289,11.270600318908691,314,EBF,LaThuile
IT-LMa,Italy – La Mandria,Italy,45.581298828125,7.154630184173584,350,GRA,LaThuile
IT-Mal,Italy – Malga Arpaco,Italy,46.11669921875,11.702799797058105,1730,GRA,LaThuile
IT-MBo,Italy – Monte Bondone,Italy,46.01559829711914,11.046699523925781,1550,GRA,LaThuile
IT-Noe,Italy – Sardinia/Arca di Noè,Italy,40.60599899291992,8.151000022888184,28,CSH,LaThuile
