site_id,first_year,last_year
AT-Neu,2002,2006
AU-Fog,2006,2007
AU-How,2001,2006
AU-Tum,2001,2006
AU-Wac,2005,2007
BE-Bra,1997,2006
BE-Jal,2006,2006
BE-Lon,2004,2006
BE-Vie,1996,2006
BR-Ban,2003,2006
BR-Cax,1999,2003
BR-Ji1,1999,1999
BR-Ji2,2000,2002
BR-Ma2,1999,2006
BR-Sa1,2002,2004
BR-Sa2,2001,2002
BR-Sa3,2000,2003
BR-Sp1,2001,2002
BW-Ghg,2003,2003
BW-Ghm,2003,2003
BW-Ma1,1999,2001
CA-Ca1,1997,2005
CA-Ca2,2000,2005
CA-Ca3,2001,2005
CA-Gro,2003,2005
CA-Let,1998,2005
CA-Man,1994,2003
CA-Mer,1998,2005
CA-NS1,2002,2005
CA-NS2,2001,2005
CA-NS3,2001,2005
CA-NS4,2002,2004
CA-NS5,2001,2005
CA-NS6,2001,2005
CA-NS7,2002,2005
CA-Oas,1997,2005
CA-Obs,1999,2005
CA-Ojp,1999,2005
CA-Qcu,2001,2006
CA-Qfo,2003,2006
CA-SF1,2003,2005
CA-SF2,2003,2005
CA-SF3,2003,2005
CA-SJ1,2001,2005
CA-SJ2,2003,2005
CA-SJ3,2004,2005
CA-TP1,2004,2005
CA-TP2,2003,2005
CA-TP3,2003,2005
CA-TP4,2003,2005
CA-WP1,2003,2005
CA-WP2,2004,2004
CA-WP3,2004,2004
CG-Tch,2006,2006
CH-Oe1,2002,2006
CH-Oe2,2005,2005
CN-Anh,2005,2006
CN-Bed,2005,2006
CN-Cha,2003,2003
CN-Do1,2005,2005
CN-Do2,2005,2005
CN-Do3,2005,2005
CN-Du1,2005,2006
CN-Du2,2006,2006
CN-HaM,2002,2004
CN-Hny,2005,2006
CN-Ku1,2005,2006
CN-Ku2,2006,2006
CN-Xfs,2004,2006
CN-Xi1,2006,2006
CN-Xi2,2006,2006
CZ-BK1,2000,2006
CZ-BK2,2004,2006
CZ-wet,2006,2006
DE-Bay,1996,1999
DE-Geb,2004,2006
DE-Gri,2005,2006
DE-Hai,2000,2006
DE-Har,2005,2006
DE-Kli,2004,2006
DE-Meh,2003,2006
DE-Tha,1996,2006
DE-Wet,2002,2006
DK-Fou,2005,2005
DK-Lva,2005,2006
DK-Ris,2004,2005
DK-Sor,1996,2006
ES-ES1,1999,2006
ES-ES2,2004,2006
ES-LJu,2004,2004
ES-LMa,2004,2006
ES-VDA,2004,2006
FI-Hyy,1996,2006
FI-Kaa,2000,2006
FI-Sii,2004,2005
FI-Sod,2000,2006
FR-Aur,2005,2005
FR-Fon,2005,2006
FR-Gri,2005,2006
FR-Hes,1997,2006
FR-Lam,2005,2005
FR-LBr,1996,2006
FR-Lq1,2004,2006
FR-Lq2,2004,2006
FR-Pue,2000,2006
GF-Guy,2004,2006
HU-Bug,2002,2006
HU-Mat,2004,2006
ID-Pag,2002,2003
IE-Ca1,2004,2006
IE-Dri,2003,2005
IL-Yat,2001,2006
IS-Gun,1996,1998
IT-Amp,2002,2006
IT-BCi,2004,2006
IT-Be2,2006,2006
IT-Bon,2006,2006
IT-Cas,2006,2006
IT-Col,1996,2006
IT-Cpz,1997,2006
IT-Lav,2000,2006
IT-Lec,2005,2006
IT-LMa,2003,2006
IT-Mal,2003,2006
IT-MBo,2003,2006
IT-Noe,2004,2006
IT-Non,2001,2006
IT-Pia,2002,2005
IT-PT1,2002,2004
IT-Ren,1999,2006
IT-Ro1,2000,2006
IT-Ro2,2002,2006
IT-SRo,1999,2006
IT-Vig,2004,2005
JP-Mas,2002,2003
JP-Tak,1999,2004
JP-Tef,2001,2005
JP-Tom,2001,2003
KR-Hnm,2004,2006
KR-Kw1,2004,2007
NL-Ca1,2003,2006
NL-Haa,2003,2004
NL-Hor,2004,2006
NL-Lan,2005,2006
NL-Loo,1996,2006
NL-Lut,2006,2006
NL-Mol,2005,2006
PL-wet,2004,2005
PT-Esp,2002,2006
PT-Mi1,2003,2005
PT-Mi2,2004,2006
RU-Che,2002,2005
RU-Cok,2003,2005
RU-Fyo,1998,2006
RU-Ha1,2002,2004
RU-Ha2,2002,2003
RU-Ha3,2004,2004
RU-Zot,2002,2004
SE-Abi,2005,2005
SE-Deg,2001,2005
SE-Faj,2005,2006
SE-Fla,1996,2002
SE-Nor,1996,2005
SE-Sk1,2005,2005
SE-Sk2,2004,2005
SE-St1,2006,2006
SK-Tat,2005,2005
TW-Tar,2006,2007
UK-AMo,2005,2005
UK-EBu,2004,2006
UK-ESa,2003,2005
UK-Gri,1997,2006
UK-Ham,2004,2005
UK-Her,2006,2006
UK-PL3,2005,2006
UK-Tad,2001,2001
US-ARb,2005,2006
US-ARc,2005,2006
US-ARM,2003,2006
US-Atq,1999,2006
US-Aud,2002,2006
US-Bar,2004,2005
US-Bkg,2004,2006
US-Blo,1997,2006
US-Bn1,2003,2003
US-Bn2,2003,2003
US-Bn3,2003,2003
US-Bo1,1996,2007
US-Bo2,2004,2006
US-Brw,1998,2002
US-CaV,2004,2005
US-Dk1,2001,2005
US-Dk2,2003,2005
US-Dk3,2001,2005
US-Fmf,2005,2006
US-FPe,2000,2006
US-FR2,2004,2006
US-Fuf,2005,2006
US-Fwf,2005,2006
US-Goo,2002,2006
US-Ha1,1991,2006
US-Ha2,2004,2004
US-Ho1,1996,2004
US-Ho2,1999,2004
US-IB1,2005,2007
US-IB2,2004,2007
US-Ivo,2003,2006
US-KS1,2002,2002
US-KS2,2000,2006
US-Los,2001,2005
US-LPH,2002,2005
US-Me1,2004,2005
US-Me2,2003,2005
US-Me3,2004,2005
US-Me4,1996,2000
US-MMS,1999,2005
US-MOz,2004,2006
US-NC1,2005,2006
US-NC2,2005,2006
US-Ne1,2001,2005
US-Ne2,2001,2005
US-Ne3,2001,2005
US-NR1,1999,2003
US-Oho,2004,2005
US-PFa,1996,2003
US-SO2,1997,2006
US-SO3,1997,2006
US-SO4,2004,2006
US-SP1,2000,2005
US-SP2,1998,2004
US-SP3,1999,2004
US-SP4,1998,1998
US-SRM,2004,2006
US-Syv,2002,2006
US-Ton,2001,2006
US-UMB,1999,2003
US-Var,2001,2006
US-WBW,1995,1999
US-WCr,1999,2006
US-Wi0,2002,2002
US-Wi1,2003,2003
US-Wi2,2003,2003
US-Wi4,2002,2005
US-Wi5,2004,2004
US-Wi6,2002,2002
US-Wi7,2005,2005
US-Wi8,2002,2002
US-Wi9,2004,2005
US-Wkg,2004,2006
US-Wrc,1998,2006
VU-Coc,2001,2004
ZA-Kru,2001,2003
